GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spaceinvaders-sprites,default,Sprite,9,16,0,0,2,5,1,3,1,3
spaceinvaders-sprites,default,SpriteStore,33,67,2,2,7,16,3,4,1,4
